"_primaryKey","_firstSeenAt","_lastSeenAt","eventId","name","category","datetimeLocal","datetimeUtc","salesCutOff","tbd","timeTbd","dateTbd","minPriceTotal","minPricePrefee","maxPriceTotal","maxPricePrefee","zoneDealPriceTotal","flashDealPriceTotal","hasExclusives","mapless","venueId","performerIds","popularityScore","trendingScore"
"6972c73275d2e1ba75570236","2026-01-23 22:51:58.053","2026-03-03 12:21:32.958","6972c73275d2e1ba75570236","St. Louis Battlehawks at DC Defenders","xfl","2026-04-18 12:30:00","2026-04-18 16:30:00","2026-04-18 18:00:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,false,"5a4fde77f440de00136a0df0","['5db201f874bdc3003916ba4e','5db20a8f58a30e0036af1b81']","[PREMIUM]","[PREMIUM]"
"6971550b8e378ebc24ad2bdc","2026-01-23 22:51:58.053","2026-03-03 12:21:40.165","6971550b8e378ebc24ad2bdc","Beaches","music","2026-04-18 20:00:00","2026-04-19 00:00:00","2026-04-19 01:30:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,true,"5a6a6d8c87425e000fa260b6","['61ccad8a7cacb4000136abd7']","[PREMIUM]","[PREMIUM]"
"6972cb944e4fb730c101ff09","2026-01-23 22:51:58.053","2026-03-03 12:21:32.958","6972cb944e4fb730c101ff09","Pallbearer","music","2026-04-18 19:00:00","2026-04-18 23:00:00","2026-04-19 00:30:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,true,"634da21ed9a7e70001ba4229","['6324cdd6eb791a0001049b04']","[PREMIUM]","[PREMIUM]"
"6972c6676e2f4e59333f4ff2","2026-01-23 22:51:58.053","2026-03-03 12:21:32.958","6972c6676e2f4e59333f4ff2","Michael Blackson","music","2026-04-18 18:30:00","2026-04-19 01:30:00","2026-04-19 03:00:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,true,"674661689c7bef9c8f61a7ba","['5afcb4162479b000153d0b4f']","[PREMIUM]","[PREMIUM]"
"69718bc4382599bae0c40054","2026-01-23 22:51:58.053","2026-03-03 12:21:32.958","69718bc4382599bae0c40054","Austin FC II at Ventura County FC","mils","2026-04-18 14:00:00","2026-04-18 21:00:00","2026-04-18 21:00:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,true,"69727b8fc73adf4104623f24","['667b26564c0cd5d792e6dd7f','6415013fc24c3b000113a588']","[PREMIUM]","[PREMIUM]"
"6972c7cee4e37a1d12d577c4","2026-01-23 22:51:58.053","2026-03-03 12:21:40.165","6972c7cee4e37a1d12d577c4","Drugdealer","music","2026-04-18 20:00:00","2026-04-19 03:00:00","2026-04-19 04:30:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,false,"57e1885950575d33c89c1726","['6307d69229cd640001e7aad3']","[PREMIUM]","[PREMIUM]"
"69718c90115c2f3572ea2112","2026-01-23 22:51:58.053","2026-03-03 12:21:40.165","69718c90115c2f3572ea2112","Disney On Ice: Road Trip Adventures","theater","2026-04-19 11:00:00","2026-04-19 18:00:00","2026-04-19 18:15:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,false,"542da6dd3bf376781a000001","['57dc19b1f80c417e9c06490e']","[PREMIUM]","[PREMIUM]"
"6972c969339fef029ea59a6a","2026-01-23 22:51:58.053","2026-03-03 12:21:40.165","6972c969339fef029ea59a6a","Grace O'Malley","comedy","2026-04-18 21:15:00","2026-04-19 02:15:00","2026-04-19 02:15:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,true,"6835ea8fab71b508f204b9a1","['67648e079a344cb5131f8725']","[PREMIUM]","[PREMIUM]"
"6972c755519f1ca705adfd0e","2026-01-23 22:51:58.053","2026-03-03 12:21:40.165","6972c755519f1ca705adfd0e","Mersiv","music","2026-04-18 20:00:00","2026-04-19 01:00:00","2026-04-19 01:00:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,true,"662029349c9819280e8278cf","['64eb77ab3321030001294642']","[PREMIUM]","[PREMIUM]"
"6972df3a36ea932668a78a44","2026-01-23 22:51:58.053","2026-03-03 12:21:40.165","6972df3a36ea932668a78a44","Disco Biscuits","music","2026-04-18 20:00:00","2026-04-19 03:00:00","2026-04-19 04:30:00",false,false,false,"[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",false,false,"588fd9c3cde6626ebe51b318","['5df7ddf7ea430d003ad7beb2']","[PREMIUM]","[PREMIUM]"
